IDProduktu	NazwaProduktu	KodRodzajuProduktu
189	Lenovo Yoga 2 8.0 Windows	1
190	Lenovo Yoga 2 LTE	1
191	Lenovo Yoga 2 Pro	1
192	Lenovo Yoga 2 Pro LTE	1
193	Lenovo Yoga 2 Wi-Fi	1
194	Lenovo Yoga Tab 2 10.1	1
195	Lenovo Yoga Tab 2 10.1 Windows	1
196	LG G Pad 8.0	1
197	LG G Pad 8.0 LTE	1
198	LG G3	2
199	Samsung Galaxy Note 4	2
200	Samsung Galaxy Note Pro 12.2 LTE	1
201	Samsung Galaxy Note Pro 12.2 Wi-Fi	1
202	Samsung Galaxy S5	2
203	Samsung Galaxy Tab 3 Lite 7.0 3G	1
204	Samsung Galaxy Tab 4 10.1 3G	1
205	Samsung Galaxy Tab 4 10.1 LTE	1
206	Samsung Galaxy Tab 4 10.1 Wi-Fi	1
207	Samsung Galaxy Tab 4 7.0 3G	1
208	Samsung Galaxy Tab 4 7.0 LTE	1
209	Samsung Galaxy Tab 4 7.0 Wi-Fi	1
210	Samsung Galaxy Tab 4 8.0 3G	1
211	Samsung Galaxy Tab 4 8.0 LTE	1
212	Samsung Galaxy Tab 4 8.0 Wi-Fi	1
213	Samsung Galaxy Tab Active	1
214	Samsung Galaxy Tab Active Lte	1
215	Samsung Galaxy Tab Pro 10.1 LTE	1
216	Samsung Galaxy Tab Pro 10.1 Wi-Fi	1
217	Samsung Galaxy Tab Pro 8.4 LTE	1
218	Samsung Galaxy Tab Pro 8.4 Wi-Fi	1
219	Samsung Galaxy Tab S 10.5 LTE	1
220	Samsung Galaxy Tab S 10.5 Wi-Fi	1
221	Samsung Galaxy Tab S 8.4 LTE	1
222	Samsung Galaxy Tab S 8.4 Wi-Fi	1
223	Sony Xperia Tablet Z2 LTE	1
224	Sony Xperia Tablet Z2 Wi-Fi	1
225	Sony Xperia Tablet Z3 Compact LTE	1
226	Sony Xperia Tablet Z3 Compact Wi-Fi	1
227	Sony Xperia Z3	2
228	Acer Iconia One 10 B3-A20 Wi-Fi	1
229	Acer Iconia One 8 Wi-Fi	1
230	Acer One 10 S1002-194V	1
231	Acer Predator 8	1
232	Apple iPad mini 4	1
233	Apple iPad Mini 4 LTE	1
234	Apple iPad Pro 12.9 LTE	1
235	Apple iPad Pro 12.9 Wi-Fi	1
236	Apple iPhone 6S	2
237	Apple iPhone 6S Plus	2
238	Asus Transformer Book T300 Chi	1
239	Asus ZenPad 7.0 Wi-Fi	1
240	Asus ZenPad 8.0 LTE	1
241	Asus ZenPad C 7.0 Wi-Fi	1
242	BlackBerry Priv	2
243	HTC One M9	2
244	Huawei MediaPad M2 8.0 LTE 2GB	1
245	Huawei MediaPad M2 8.0 LTE 3GB	1
246	Huawei MediaPad T1 10.0 LTE	1
247	Huawei MediaPad T1 10.0 Wi-Fi	1
248	Huawei MediaPad T1 7.0 Wi-Fi	1
249	Huawei MediaPad X2	1
250	Lenovo A7-10F	1
251	Lenovo A7-30 A3300-H 3G	1
252	Lenovo Tab 2 A10-70F Wi-Fi	1
253	Lenovo Tab 2 A10-70L LTE	1
254	Lenovo Tab 2 A7-10F Wi-Fi	1
255	Lenovo Tab 2 A7-30 3G	1
256	Lenovo Tab 2 A8-50L LTE	1
257	Lenovo ThinkPad 10 2 LTE	1
258	Lenovo ThinkPad 10 2 Wi-Fi	1
259	Lenovo Yoga Tab 3 X50F	1
260	Lenovo Yoga Tab 3 X50L LTE	1
261	LG G4	2
262	LG V10	2
263	Microsoft Lumia 950	2
264	Microsoft Lumia 950 XL	2
265	Motorola Moto X Play	2
266	Motorola Moto X Style	2
267	Samsung Galaxy Note 5	2
268	Samsung Galaxy S6	2
269	Samsung Galaxy S6 Edge	2
270	Samsung Galaxy S6 Edge+	2
271	Samsung Galaxy Tab A 9.7 LTE	1
272	Samsung Galaxy Tab A 9.7 Wi-Fi	1
273	Samsung Galaxy Tab E 96 3G	1
274	Samsung Galaxy Tab E 96 Wi-Fi	1
275	Samsung Galaxy Tab S2 8.0 LTE	1
276	Samsung Galaxy Tab S2 8.0 Wi-Fi	1
277	Samsung Galaxy Tab S2 9.7 LTE	1
278	Samsung Galaxy Tab S2 9.7 Wi-Fi	1
279	Sony Xperia Tablet Z4 LTE	1
280	Sony Xperia Tablet Z4 Wi-Fi	1
281	Sony Xperia Z3+	2
282	Sony Xperia Z5	2
283	Sony Xperia Z5 Premium	2
284	Acer Iconia Talk S LTE	1
285	Apple iPad Pro 9.7	1
286	Apple iPad Pro 9.7 LTE	1
287	Apple iPhone 7	2
288	Apple iPhone 7 Plus	2
289	Asus Transformer 3	1
290	Asus Transformer 3 Pro	1
291	BlackBerry DTEK50	2
292	BlackBerry DTEK60	2
293	HTC 10	2
294	Huawei MediaPad M2 10.0 LTE	1
295	Huawei MediaPad M2 10.0 Wi-Fi	1
296	Huawei MediaPad M3 WiFi	1
297	Huawei MediaPad Premium M2 10.0	1
298	Huawei P9	2
299	Lenovo IdeaPad Miix 300-10	1
300	Lenovo IdeaPad Miix 700-12 Wi-Fi	1
301	Lenovo IdeaTab Miix 700-12 LTE	1
302	Lenovo Tab 3 A7-10F Wi-Fi	1
303	Lenovo Tab 3 A8-50F Wi-Fi	1
304	Lenovo Tab 3 A8-50M LTE	1
305	Lenovo Tab3 A7-10I 3G	1
306	Lenovo Tab3 A7-30M LTE	1
307	Lenovo Yoga Tab 3 10-in	1
308	Lenovo Yoga Tab 3 10-in Wi-Fi	1
309	Lenovo Yoga Tab 3 850F Wi-Fi	1
310	Lenovo Yoga Tab 3 850L LTE	1
311	Lenovo Yoga Tab 3 Plus LTE	1
312	Lenovo Yoga Tab 3 Plus Wi-Fi	1
313	Lenovo Yoga Tab 3 Pro X90L LTE	1
314	LG G5	2
315	LG V20	2
316	Microsoft Lumia 650	2
317	Motorola Moto Z	2
318	Samsung Galaxy S7	2
319	Samsung Galaxy S7 Edge	2
320	Samsung Galaxy Tab A 10.1 LTE	1
321	Samsung Galaxy Tab A 10.1 Wi-Fi	1
322	Samsung Galaxy Tab A 7.0 LTE	1
323	Samsung Galaxy Tab A 7.0 Wi-Fi	1
324	Sony Xperia X Performance	2
325	Sony Xperia XZ	2
326	Apple iPhone 8	2
327	Apple iPhone 8 Plus	2
328	Apple iPhone X	2
329	Asus Transformer Book T101	1
330	Asus Transformer Mini T102	1
331	BlackBerry KEYone	2
332	HTC U11	2
333	Huawei Honor 9	2
334	Huawei Mate 10 Pro	2
335	Huawei P10	2
336	Lenovo Miix 320 WiFi	1
337	Lenovo Tab 4 10	1
338	Lenovo Tab 4 10 Plus	1
339	Lenovo Tab 4 8	1
340	Lenovo Tab 4 8 Plus	1
		
341	LG G6	2
342	LG V30	2
343	Motorola Moto G5	2
344	Nokia 8	2
345	Samsung Galaxy Note 8	2
346	Samsung Galaxy S8	2
347	Samsung Galaxy S8+	2
348	Samsung Galaxy Tab S3 LTE	1
349	Samsung Galaxy Tab S3 WiFi	1
350	Sony Xperia XZ Premium	2
